LAMMPS DATA file for 4*4*4-Ga2O3

1280 atoms
2 atom types

0.0 49.50744079 xlo xhi
0.0 12.33503135 ylo yhi
0.0 22.88864419 zlo zhi
0.0 -5.63553564 0.0 xy xz yz

Masses

1 69.723
2 15.999

Atoms #atomic

94 2 0.61160374 4.62563676 13.94876664
95 2 0.61160374 7.70939459 13.94876664
96 2 0.61160374 10.79315243 13.94876664
97 2 0.97071504 0.00000000 21.43288522
98 2 0.97071504 3.08375784 21.43288522
99 2 0.97071504 6.16751568 21.43288522
100 2 0.97071504 9.25127351 21.43288522
101 2 1.35017463 0.00000000 3.21771650
102 2 1.35017463 3.08375784 3.21771650
103 2 1.35017463 6.16751568 3.21771650
104 2 1.35017463 9.25127351 3.21771650
105 2 1.47002860 1.54187892 10.81216521
106 2 1.47002860 4.62563676 10.81216521
107 2 1.47002860 7.70939459 10.81216521
108 2 1.47002860 10.79315243 10.81216521
109 1 1.51382640 1.54187892 1.80001105
110 1 1.51382640 4.62563676 1.80001105
111 1 1.51382640 7.70939459 1.80001105
112 1 1.51382640 10.79315243 1.80001105
113 2 1.54395780 0.00000000 18.62224211
114 2 1.54395780 3.08375784 18.62224211
115 2 1.54395780 6.16751568 18.62224211
116 2 1.54395780 9.25127351 18.62224211
117 1 1.85683588 0.00000000 9.64431105
118 1 1.85683588 3.08375784 9.64431105
119 1 1.85683588 6.16751568 9.64431105
120 1 1.85683588 9.25127351 9.64431105
121 2 1.90063368 0.00000000 0.63215689
122 2 1.90063368 3.08375784 0.63215689
123 2 1.90063368 6.16751568 0.63215689
124 2 1.90063368 9.25127351 0.63215689
125 1 1.94752817 1.54187892 12.60887342
126 1 1.94752817 4.62563676 12.60887342
127 1 1.94752817 7.70939459 12.60887342
128 1 1.94752817 10.79315243 12.60887342
129 1 1.97602858 1.54187892 21.72409286
130 1 1.97602858 4.62563676 21.72409286
131 1 1.97602858 7.70939459 21.72409286
132 1 1.97602858 10.79315243 21.72409286
133 2 2.02048765 1.54187892 8.22660560
134 2 2.02048765 4.62563676 8.22660560
135 2 2.02048765 7.70939459 8.22660560
136 2 2.02048765 10.79315243 8.22660560
137 2 2.37959895 0.00000000 15.71072417
138 2 2.37959895 3.08375784 15.71072417
139 2 2.37959895 6.16751568 15.71072417
140 2 2.37959895 9.25127351 15.71072417
141 2 2.87891251 1.54187892 5.09000416
142 2 2.87891251 4.62563676 5.09000416
143 2 2.87891251 7.70939459 5.09000416
144 2 2.87891251 10.79315243 5.09000416
145 2 2.95284171 0.00000000 12.90008107
146 2 2.95284171 3.08375784 12.90008107
147 2 2.95284171 6.16751568 12.90008107
148 2 2.95284171 9.25127351 12.90008107
149 1 3.26571979 0.00000000 3.92215000
150 1 3.26571979 3.08375784 3.92215000
151 1 3.26571979 6.16751568 3.92215000
152 1 3.26571979 9.25127351 3.92215000
153 2 3.31195300 1.54187892 20.38419964
154 2 3.31195300 4.62563676 20.38419964
155 2 3.31195300 7.70939459 20.38419964
156 2 3.31195300 10.79315243 20.38419964
157 1 3.35641207 1.54187892 6.88671238
158 1 3.35641207 4.62563676 6.88671238
159 1 3.35641207 7.70939459 6.88671238
160 1 3.35641207 10.79315243 6.88671238
161 1 3.38491249 1.54187892 16.00193182
162 1 3.38491249 4.62563676 16.00193182
163 1 3.38491249 7.70939459 16.00193182
164 1 3.38491249 10.79315243 16.00193182
165 2 3.42937156 1.54187892 2.50444455
166 2 3.42937156 4.62563676 2.50444455
167 2 3.42937156 7.70939459 2.50444455
168 2 3.42937156 10.79315243 2.50444455
169 1 3.47560477 0.00000000 18.96649419
170 1 3.47560477 3.08375784 18.96649419
171 1 3.47560477 6.16751568 18.96649419
172 1 3.47560477 9.25127351 18.96649419
173 2 3.78848285 0.00000000 9.98856313
174 2 3.78848285 3.08375784 9.98856313
175 2 3.78848285 6.16751568 9.98856313
176 2 3.78848285 9.25127351 9.98856313
177 2 3.86241205 1.54187892 17.79864003
178 2 3.86241205 4.62563676 17.79864003
179 2 3.86241205 7.70939459 17.79864003
180 2 3.86241205 10.79315243 17.79864003
181 2 4.36172562 0.00000000 7.17792002
182 2 4.36172562 3.08375784 7.17792002
183 2 4.36172562 6.16751568 7.17792002
184 2 4.36172562 9.25127351 7.17792002
185 2 4.72083691 1.54187892 14.66203860
186 2 4.72083691 4.62563676 14.66203860
187 2 4.72083691 7.70939459 14.66203860
188 2 4.72083691 10.79315243 14.66203860
189 1 4.76529598 1.54187892 1.16455133
190 1 4.76529598 4.62563676 1.16455133
191 1 4.76529598 7.70939459 1.16455133
192 1 4.76529598 10.79315243 1.16455133
193 1 4.79379640 1.54187892 10.27977077
194 1 4.79379640 4.62563676 10.27977077
195 1 4.79379640 7.70939459 10.27977077
196 1 4.79379640 10.79315243 10.27977077
197 2 4.84069088 0.00000000 22.25648731
198 2 4.84069088 3.08375784 22.25648731
199 2 4.84069088 6.16751568 22.25648731
200 2 4.84069088 9.25127351 22.25648731
201 1 4.88448868 0.00000000 13.24433314
202 1 4.88448868 3.08375784 13.24433314
203 1 4.88448868 6.16751568 13.24433314
204 1 4.88448868 9.25127351 13.24433314
205 2 5.19736676 0.00000000 4.26640208
206 2 5.19736676 3.08375784 4.26640208
207 2 5.19736676 6.16751568 4.26640208
208 2 5.19736676 9.25127351 4.26640208
209 1 5.22749816 1.54187892 21.08863315
210 1 5.22749816 4.62563676 21.08863315
